sentence_index,word_index,word,gold_lex,gold_pos
25,9,أصبعهم,إِصْبَع,noun
25,10,فى,فِي,prep
25,11,آذانهم,أُذُن,noun
25,12,من,مِن,prep
25,13,الصوعق,صَاعِقَة,noun
25,14,حذر,حَذِر,adj
25,15,الموت,مَوْت,noun
25,16,والله,اللّٰه,noun_prop
25,17,محيط,مُحِيط,noun
25,18,بالكفرين,كَفَر,noun
26,0,يكاد,كاد,verb
26,1,البرق,بَرْق,noun
26,2,يخطف,خَطِف,verb
26,3,أبصرهم,بَصَّر,verb
26,4,كلما,كُلَّما,adv_rel
26,5,أضاء,أَضاء,verb
26,6,لهم,لِ,prep
26,7,مشوا,مَشّ,verb
26,8,فيه,فِي,prep
26,9,وإذا,إِذا,conj_sub
26,10,أظلم,أَظْلَم,verb
26,11,عليهم,عَلَى,prep
26,12,قاموا,قام,verb
26,13,ولو,لَوْ,conj_sub
26,14,شاء,شاء,verb
26,15,الله,اللّٰه,noun_prop
26,16,لذهب,ذَهَب,verb
26,17,بسمعهم,سَمْع,noun
26,18,وأبصرهم,بَصَّر,verb
26,19,إن,إِنَّ,verb_pseudo
26,20,الله,اللّٰه,noun_prop
26,21,على,عَلَى,prep
26,22,كل,كُلّ,noun_quant
26,23,شىء,شَيْء,noun
26,24,قدير,قَدِير,adj
27,0,يأيها,ياي,noun
27,1,الناس,ناس,noun
27,2,اعبدوا,عَبَدَ,verb
27,3,ربكم,رَبّ,noun
27,4,الذى,الَّذِي,pron_rel
27,5,خلقكم,خَلَق,verb
27,6,والذين,الَّذِي,pron_rel
27,7,من,مِن,prep
27,8,قبلكم,قَبْل,noun
27,9,لعلكم,لَعَلَّ,verb_pseudo
27,10,تتقون,ٱِتَّقَى,verb
28,0,الذى,الَّذِي,pron_rel
28,1,جعل,جَعَل,verb
28,2,لكم,لِ,prep
28,3,الأرض,أَرْض,noun
28,4,فرشا,فَرْش,noun
28,5,والسماء,سَماء,noun
28,6,بناء,بِناء,noun
28,7,وأنزل,أَنْزَل,verb
28,8,من,مِن,prep
28,9,السماء,سَماء,noun
28,10,ماء,ماء,noun
28,11,فأخرج,أَخْرَج,verb
28,12,به,بِ,prep
28,13,من,مِن,prep
28,14,الثمرت,ثَمَرَت,noun
28,15,رزقا,رِزْق,noun
28,16,لكم,لِ,prep
28,17,فلا,لا,part_neg
28,18,تجعلوا,جَعَل,verb
28,19,لله,اللّٰه,noun_prop
28,20,أندادا,نِدّ,noun
28,21,وأنتم,أَنْتُم,pron
28,22,تعلمون,عَلِم,verb
29,0,وإن,إِنْ,conj_sub
29,1,كنتم,كان,verb
29,2,فى,فِي,prep
29,3,ريب,رَيْب,noun
29,4,مما,مِن,prep
29,5,نزلنا,نَزَّل,verb
29,6,على,عَلَى,prep
29,7,عبدنا,عَبْد,noun
29,8,فأتوا,أَتَى,verb
29,9,بسورة,سُورَة,noun
29,10,من,مِن,prep
29,11,مثله,مِثْل,noun
29,12,وادعوا,دَعا,verb
29,13,شهداءكم,شَهِيد,noun
29,14,من,مِن,prep
29,15,دون,دُون,noun
29,16,الله,اللّٰه,noun_prop
29,17,إن,إِنْ,conj_sub
29,18,كنتم,كان,verb
29,19,صدقين,صَادِق,noun
30,0,فإن,إِنْ,conj_sub
30,1,لم,لَمْ,part_neg
30,2,تفعلوا,فَعَل,verb
30,3,ولن,لَنْ,part_neg
30,4,تفعلوا,فَعَل,verb
30,5,فاتقوا,ٱِتَّقَى,verb
30,6,النار,نار,noun
30,7,التى,الَّذِي,pron_rel
30,8,وقودها,وَقُود,noun
30,9,الناس,ناس,noun
30,10,والحجارة,حَجَر,noun
30,11,أعدت,أَعَدّ,verb
30,12,للكفرين,كَفَر,noun
31,0,وبشر,بَشَّر,verb
31,1,الذين,الَّذِي,pron_rel
31,2,آمنوا,أَمَّن,verb
31,3,وعملوا,عَمِل,verb
31,4,الصلحت,صَّلِحَت,noun
31,5,أن,إِنَّ,verb_pseudo
31,6,لهم,لِ,prep
31,7,جنت,جَنَّة,noun
31,8,تجرى,أَجْرَى,verb
31,9,من,مِن,prep
31,10,تحتها,تَحْتَ,noun
31,11,الأنهر,نَهْر,noun
31,12,كلما,كُلَّما,adv_rel
31,13,رزقوا,رَزَق,verb
31,14,منها,مِن,prep
31,15,من,مِن,prep
31,16,ثمرة,ثَمَر,noun
31,17,رزقا,رِزْق,noun
31,18,قالوا,قال,verb
31,19,هذا,هٰذا,pron_dem
31,20,الذى,الَّذِي,pron_rel
31,21,رزقنا,رَزَق,verb
31,22,من,مِن,prep
31,23,قبل,قَبْل,noun
31,24,وأتوا,أَتَى,verb
31,25,به,بِ,prep
31,26,متشبها,مُتَشَبِه,noun
31,27,ولهم,لِ,prep
31,28,فيها,فِي,prep
31,29,أزوج,زَوَّج,verb
31,30,مطهرة,مُطَهَّر,adj
31,31,وهم,هُم,pron
31,32,فيها,فِي,prep
31,33,خلدون,خَلِد,noun
32,0,إن,إِنَّ,verb_pseudo
32,1,الله,اللّٰه,noun_prop
32,2,لا,لا,part_neg
32,3,يستحى,ٱِسْتَحْيَى,verb
32,4,أن,أَنْ,conj_sub
32,5,يضرب,ضَرَب,verb
32,6,مثلا,مَثَل,noun
32,7,ما,ما,conj_sub
32,8,بعوضة,عِوَض,noun
32,9,فما,ما,pron_rel
32,10,فوقها,فَوْق,noun
32,11,فأما,أَمّا,part_focus
32,12,الذين,الَّذِي,pron_rel
32,13,آمنوا,أَمَّن,verb
32,14,فيعلمون,عَلِم,verb
32,15,أنه,إِنَّ,verb_pseudo
32,16,الحق,حَقّ,noun
32,17,من,مِن,prep
32,18,ربهم,رَبّ,noun
32,19,وأما,أَمّا,part_focus
32,20,الذين,الَّذِي,pron_rel
32,21,كفروا,كَفَر,verb
32,22,فيقولون,قال,verb
32,23,ماذا,ماذا,pron_interrog
32,24,أراد,أَراد,verb
32,25,الله,اللّٰه,noun_prop
32,26,بهذا,هٰذا,pron_dem
32,27,مثلا,مَثَل,noun
32,28,يضل,أَضَلّ,verb
32,29,به,بِ,prep
32,30,كثيرا,كَثِير,adj
32,31,ويهدى,هَدَى,verb
32,32,به,بِ,prep
32,33,كثيرا,كَثِير,adj
32,34,وما,ما,part_neg
32,35,يضل,أَضَلّ,verb
32,36,به,بِ,prep
32,37,إلا,إِلّا,part_restrict
32,38,الفسقين,فَاسِق,noun
33,0,الذين,الَّذِي,pron_rel
33,1,ينقضون,ٱِنْقَضّ,verb
33,2,عهد,عَهْد,noun
33,3,الله,اللّٰه,noun_prop
33,4,من,مِن,prep
33,5,بعد,بَعْد,noun
33,6,ميثقه,مِّيثَق,noun
33,7,ويقطعون,قَطَع,verb
33,8,ما,ما,pron_rel
33,9,أمر,أَمَر,verb
33,10,الله,اللّٰه,noun_prop
33,11,به,بِ,prep
33,12,أن,أَنْ,conj_sub
33,13,يوصل,وَصَل,verb
33,14,ويفسدون,أَفْسَد,verb
33,15,فى,فِي,prep
33,16,الأرض,أَرْض,noun
33,17,أولئك,أُولَئِك,pron_dem
33,18,هم,هُم,pron
33,19,الخسرون,خَسِرِين,noun
34,0,كيف,كَيْفَ,adv_interrog
34,1,تكفرون,كَفَر,verb
34,2,بالله,اللّٰه,noun_prop
34,3,وكنتم,كان,verb
34,4,أموتا,مَّيِّت,noun
34,5,فأحيكم,أَحْيَى,verb
34,6,ثم,ثُمَّ,conj
34,7,يميتكم,أَمات,verb
34,8,ثم,ثُمَّ,conj
34,9,يحييكم,أَحْيَى,verb
34,10,ثم,ثُمَّ,conj
34,11,إليه,إِلَى,prep
34,12,ترجعون,رَجَع,verb
35,0,هو,هُوَ,pron
35,1,الذى,الَّذِي,pron_rel
35,2,خلق,خَلَق,verb
35,3,لكم,لِ,prep
35,4,ما,ما,pron_rel
35,5,فى,فِي,prep
35,6,الأرض,أَرْض,noun
35,7,جميعا,جَمِيع,noun_quant
35,8,ثم,ثُمَّ,conj
35,9,استوى,ٱِسْتَوَى,verb
35,10,إلى,إِلَى,prep
35,11,السماء,سَماء,noun
35,12,فسوىهن,سَوِي,verb
35,13,سبع,سَبْع,noun_num
35,14,سموت,سَمْت,noun
35,15,وهو,هُوَ,pron
35,16,بكل,كُلّ,noun_quant
35,17,شىء,شَيْء,noun
35,18,عليم,عَلِيم,noun
36,0,وإذ,إِذْ,conj_sub
36,1,قال,قال,verb
36,2,ربك,رَبّ,noun
36,3,للملئكة,مَلَك,noun
36,4,إنى,إِنّ,verb_pseudo
36,5,جاعل,جاعَل,verb
36,6,فى,فِي,prep
36,7,الأرض,أَرْض,noun
36,8,خليفة,خَلِيفَة,noun
36,9,قالوا,قال,verb
36,10,أتجعل,جَعَلَ,verb
36,11,فيها,فِي,prep
36,12,من,مَنْ,pron_rel
36,13,يفسد,أَفْسَد,verb
36,14,فيها,فِي,prep
36,15,ويسفك,سَفَك,verb
36,16,الدماء,دَم,noun
36,17,ونحن,نَحْنُ,pron
36,18,نسبح,سَبَّح,verb
36,19,بحمدك,حَمْد,noun
36,20,ونقدس,قَدَّس,verb
36,21,لك,لِ,prep
36,22,قال,قال,verb
36,23,إنى,إِنّ,verb_pseudo
36,24,أعلم,عَلِم,verb
36,25,ما,ما,pron_rel
36,26,لا,لا,part_neg
36,27,تعلمون,عَلِم,verb
37,0,وعلم,عَلَّم,verb
37,1,آدم,آدَم,noun_prop
37,2,الأسماء,ٱِسْم,noun
37,3,كلها,كُلّ,noun_quant
37,4,ثم,ثُمَّ,conj
37,5,عرضهم,عَرَض,verb
37,6,على,عَلَى,prep
37,7,الملئكة,مَلَك,noun
37,8,فقال,قال,verb
37,9,أنبونى,أَنَّب,verb
37,10,بأسماء,ٱِسْم,noun
37,11,هؤلاء,هٰذا,pron_dem
37,12,إن,إِنْ,conj_sub
37,13,كنتم,كان,verb
37,14,صدقين,صَادِق,noun
38,0,قالوا,قال,verb
38,1,سبحنك,سُبْحَن,noun
38,2,لا,لا,part_neg
38,3,علم,عِلْم,noun
38,4,لنا,لِ,prep
38,5,إلا,إِلّا,part_restrict
38,6,ما,ما,pron_rel
38,7,علمتنا,عَلَّم,verb
38,8,إنك,إِنَّ,verb_pseudo
38,9,أنت,أَنْتَ,pron
38,10,العليم,عَلِيم,noun
38,11,الحكيم,حَكِيم,adj
39,0,قال,قال,verb
39,1,يادم,ادَم,noun_prop
39,2,أنبئهم,أَنْبَأ,verb
39,3,بأسمائهم,ٱِسْم,noun
39,4,فلما,فِيلْم,noun
39,5,أنبأهم,أَنْبَأ,verb
39,6,بأسمائهم,ٱِسْم,noun
39,7,قال,قال,verb
39,8,ألم,لَمْ,part_neg
39,9,أقل,قال,verb
39,10,لكم,لِ,prep
39,11,إنى,إِنّ,verb_pseudo
39,12,أعلم,عَلِم,verb
39,13,غيب,غَيْب,noun
39,14,السموت,سَمْت,noun
39,15,والأرض,أَرْض,noun
39,16,وأعلم,عَلِم,verb
39,17,ما,ما,pron_rel
39,18,تبدون,بَدا,verb
39,19,وما,ما,pron_rel
39,20,كنتم,كان,verb
39,21,تكتمون,كَتَم,verb
40,0,وإذ,إِذْ,conj_sub
40,1,قلنا,قال,verb
40,2,للملئكة,مَلَك,noun
40,3,اسجدوا,سَجَدَ,verb
40,4,لآدم,آدَم,noun_prop
40,5,فسجدوا,سَجَد,verb
40,6,إلا,إِلّا,part_restrict
40,7,إبليس,إِبْلِيس,noun_prop
40,8,أبى,أَبَى,verb
40,9,واستكبر,ٱِسْتَكْبَر,verb
40,10,وكان,كان,verb
40,11,من,مِن,prep
40,12,الكفرين,كَفَر,noun
41,0,وقلنا,قال,verb
41,1,يادم,ادَم,noun_prop
41,2,اسكن,سَكَن,verb
41,3,أنت,أَنْتَ,pron
41,4,وزوجك,زَوْج,noun
41,5,الجنة,جَنَّة,noun
41,6,وكلا,وَكَل,verb
41,7,منها,مِن,prep
41,8,رغدا,رَغَد,noun
41,9,حيث,حَيْثُ,adv_rel
41,10,شئتما,شاء,verb
41,11,ولا,لا,part_neg
41,12,تقربا,قَرُب,verb
41,13,هذه,هٰذا,pron_dem
41,14,الشجرة,شَجَرَة,noun
41,15,فتكونا,كان,verb
41,16,من,مِن,prep
41,17,الظلمين,ظَالِم,noun
42,0,فأزلهما,أَزَلّ,verb
42,1,الشيطن,شَيْطَن,noun_prop
42,2,عنها,عَن,prep
42,3,فأخرجهما,أَخْرَج,verb
42,4,مما,مِن,prep
42,5,كانا,كان,verb
42,6,فيه,فِي,prep
42,7,وقلنا,قال,verb
42,8,اهبطوا,أَهْبَط,verb
42,9,بعضكم,بَعْض,noun_quant
42,10,لبعض,بَعْض,noun_quant
42,11,عدو,عَدُوّ,noun
42,12,ولكم,لِ,prep
42,13,فى,فِي,prep
42,14,الأرض,أَرْض,noun
42,15,مستقر,مُسْتَقَرّ,noun
42,16,ومتع,مَتَع,verb
42,17,إلى,إِلَى,prep
42,18,حين,حِين,noun
43,0,فتلقى,تَلَقَّى,verb
43,1,آدم,آدَم,noun_prop
43,2,من,مِن,prep
43,3,ربه,رَبّ,noun
43,4,كلمت,كَلِمَت,noun
43,5,فتاب,تاب,verb
43,6,عليه,عَلَى,prep
43,7,إنه,إِنَّ,verb_pseudo
43,8,هو,هُوَ,pron
43,9,التواب,تَوّاب,adj
43,10,الرحيم,رَحِيم,adj
44,0,قلنا,قال,verb
44,1,اهبطوا,أَهْبَط,verb
44,2,منها,مِن,prep
44,3,جميعا,جَمِيع,noun_quant
44,4,فإما,إِمّا,conj
44,5,يأتينكم,أَتَى,verb
44,6,منى,مِن,prep
44,7,هدى,هُدَى,noun
44,8,فمن,مَنْ,pron_rel
44,9,تبع,تَبِع,verb
44,10,هداى,هُدَى,noun
44,11,فلا,لا,part_neg
44,12,خوف,خَوْف,noun
44,13,عليهم,عَلَى,prep
44,14,ولا,لا,part_neg
44,15,هم,هُم,pron
44,16,يحزنون,حَزَن,verb
45,0,والذين,الَّذِي,pron_rel
45,1,كفروا,كَفَر,verb
45,2,وكذبوا,كَذَّب,verb
45,3,بايتنا,أَيّ,noun_quant
45,4,أولئك,أُولَئِك,pron_dem
45,5,أصحب,أَصْحَب,verb
45,6,النار,نار,noun
45,7,هم,هُم,pron
45,8,فيها,فِي,prep
45,9,خلدون,خَلِد,noun
46,0,يبنى,بَنَى,verb
46,1,إسرءيل,إِسْرَائِيل,noun_prop
46,2,اذكروا,أَذْكَر,verb
46,3,نعمتى,نِعْمَة,noun
46,4,التى,الَّذِي,pron_rel
46,5,أنعمت,أَنْعَم,verb
46,6,عليكم,عَلَى,prep
46,7,وأوفوا,أَوْفَى,verb
46,8,بعهدى,عَهْد,noun
46,9,أوف,أَوْفَى,verb
46,10,بعهدكم,عَهْد,noun
46,11,وإيى,إِيَّا,pron
46,12,فارهبون,يَرْهَبُ,verb
47,0,وآمنوا,أَمَّن,verb
47,1,بما,ما,pron_rel
47,2,أنزلت,أَنْزَل,verb
47,3,مصدقا,مُصَدَّق,adj
47,4,لما,ما,pron_rel
47,5,معكم,مَع,noun
47,6,ولا,لا,part_neg
47,7,تكونوا,كان,verb
47,8,أول,أَوَّل,adj_num
47,9,كافر,كافِر,noun
47,10,به,بِ,prep
47,11,ولا,لا,part_neg
47,12,تشتروا,ٱِشْتَرَى,verb
47,13,بايتى,أَيّ,noun_quant
47,14,ثمنا,ثَمَن,noun
47,15,قليلا,قَلِيل,adj
47,16,وإيى,إِيَّا,pron
47,17,فاتقون,ٱتَّقَى,verb
48,0,ولا,لا,part_neg
48,1,تلبسوا,لَبَّس,verb
48,2,الحق,حَقّ,noun
48,3,بالبطل,بَطَل,noun
48,4,وتكتموا,كَتَم,verb
48,5,الحق,حَقّ,noun
48,6,وأنتم,أَنْتُم,pron
48,7,تعلمون,عَلِم,verb
49,0,وأقيموا,أَقَامَ,verb
49,1,الصلوة,صَلاة,noun
49,2,وآتوا,أَتَى,verb
49,3,الزكوة,زَكاة,noun
49,4,واركعوا,أَرْكَع,verb
49,5,مع,مَع,noun
49,6,الركعين,رَاكِع,noun
50,0,أتأمرون,أَمَرَ,verb
50,1,الناس,ناس,noun
50,2,بالبر,بِرّ,noun
50,3,وتنسون,نَسِي,verb
50,4,أنفسكم,نَفْس,noun
50,5,وأنتم,أَنْتُم,pron
50,6,تتلون,تَلا,verb
50,7,الكتب,كِتاب,noun
50,8,أفلا,لا,part_neg
50,9,تعقلون,عَقَل,verb
51,0,واستعينوا,ٱسْتَعِينُ,verb
51,1,بالصبر,صَبْر,noun
51,2,والصلوة,صَلاة,noun
51,3,وإنها,إِنَّ,verb_pseudo
51,4,لكبيرة,كَبِيرَة,noun
51,5,إلا,إِلّا,part_restrict
51,6,على,عَلَى,prep
51,7,الخشعين,خَاشِع,noun
52,0,الذين,الَّذِي,pron_rel
52,1,يظنون,ظَنّ,verb
52,2,أنهم,إِنَّ,verb_pseudo
52,3,ملقوا,مَلْقُوّ,noun
52,4,ربهم,رَبّ,noun
52,5,وأنهم,إِنَّ,verb_pseudo
52,6,إليه,إِلَى,prep
52,7,رجعون,رَجِعُون,noun
53,0,يبنى,بَنَى,verb
53,1,إسرءيل,إِسْرَائِيل,noun_prop
53,2,اذكروا,أَذْكَر,verb
53,3,نعمتى,نِعْمَة,noun
53,4,التى,الَّذِي,pron_rel
53,5,أنعمت,أَنْعَم,verb
53,6,عليكم,عَلَى,prep
53,7,وأنى,أَنَّ,conj_sub
53,8,فضلتكم,فَضَّل,verb
53,9,على,عَلَى,prep
53,10,العلمين,عَلَم,noun
54,0,واتقوا,ٱِتَّقَى,verb
54,1,يوما,يَوْم,noun
54,2,لا,لا,part_neg
54,3,تجزى,جَزَى,verb
54,4,نفس,نَفْس,noun
54,5,عن,عَن,prep
54,6,نفس,نَفْس,noun
54,7,شيا,شَيّ,noun
54,8,ولا,لا,part_neg
54,9,يقبل,قَبِل,verb
54,10,منها,مِن,prep
54,11,شفعة,شُفْعَة,noun
54,12,ولا,لا,part_neg
54,13,يؤخذ,أَخَذ,verb
54,14,منها,مِن,prep
54,15,عدل,عَدْل,noun
54,16,ولا,لا,part_neg
54,17,هم,هُم,pron
54,18,ينصرون,نَصَر,verb
55,0,وإذ,إِذْ,conj_sub
55,1,نجينكم,نَجَّى,verb
55,2,من,مِن,prep
55,3,آل,آل,noun
55,4,فرعون,فِرْعَوْن,noun_prop
55,5,يسومونكم,سام,verb
55,6,سوء,سُوء,noun
55,7,العذاب,عَذاب,noun
55,8,يذبحون,ذَبَح,verb
55,9,أبناءكم,ٱِبْن,noun
55,10,ويستحيون,ٱِسْتَحْيَى,verb
55,11,نساءكم,نِساء,noun
55,12,وفى,فِي,prep
55,13,ذلكم,ذٰلِكَ,pron_dem
55,14,بلاء,بَلاء,noun
55,15,من,مِن,prep
55,16,ربكم,رَبّ,noun
55,17,عظيم,عَظِيم,adj
56,0,وإذ,إِذْ,conj_sub
56,1,فرقنا,فَرَق,verb
56,2,بكم,بِ,prep
56,3,البحر,بَحْر,noun
56,4,فأنجينكم,أَنْجَى,verb
56,5,وأغرقنا,أَغْرَق,verb
56,6,آل,آل,noun
56,7,فرعون,فِرْعَوْن,noun_prop
56,8,وأنتم,أَنْتُم,pron
56,9,تنظرون,نَظَر,verb
57,0,وإذ,إِذْ,conj_sub
57,1,وعدنا,وَعَد,verb
57,2,موسى,مُوسَى,noun_prop
57,3,أربعين,أَرْبَعُون,noun_num
57,4,ليلة,لَيْلَة,noun
57,5,ثم,ثُمَّ,conj
57,6,اتخذتم,ٱِتَّخَذ,verb
57,7,العجل,عِجْل,noun
57,8,من,مِن,prep
57,9,بعده,بَعْد,noun
